sample_id,result
A0279,EXFIL
A0280,EXFIL
A0281,EXFIL
A0282,NO_EXFIL
A0283,NO_EXFIL
A0284,NO_EXFIL
A0285,NO_EXFIL
A0286,EXFIL
A0287,EXFIL
A0288,NO_EXFIL
A0289,EXFIL
A0290,NO_EXFIL
A0291,NO_EXFIL
A0292,EXFIL
A0293,EXFIL
A0294,NO_EXFIL
A0295,NO_EXFIL
A0296,EXFIL
A0297,NO_EXFIL
A0298,NO_EXFIL
A0299,NO_EXFIL
A0300,EXFIL
